student_id,school,sex,age,address_type,family_size,parent_status,mother_education,father_education,mother_job,father_job,school_choice_reason,guardian,travel_time,study_time,class_failures,school_support,family_support,extra_paid_classes,activities,nursery_school,higher_ed,internet_access,romantic_relationship,family_relationship,free_time,social,weekday_alcohol,weekend_alcohol,health,absences,grade_1,grade_2,final_grade
1,GP,F,18.0,Urban,1.0,Apart,4.0,4.0,at_home,teacher,course,mother,1.0,1.0,0.0,yes,no,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,5.0,6.0,6.0
2,GP,F,17.0,Urban,1.0,Living together,1.0,1.0,at_home,other,course,father,0.0,1.0,0.0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0
3,GP,F,15.0,Urban,0.0,Living together,1.0,1.0,at_home,other,other,mother,0.0,1.0,3.0,yes,no,yes,no,yes,yes,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,7.0,8.0,10.0
4,GP,F,15.0,Urban,1.0,Living together,4.0,2.0,health,services,home,mother,0.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,2.0,15.0,14.0,15.0
5,GP,F,16.0,Urban,1.0,Living together,3.0,3.0,other,other,home,father,0.0,1.0,0.0,no,yes,yes,no,yes,yes,no,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,6.0,10.0,10.0
6,GP,M,16.0,Urban,0.0,Living together,4.0,3.0,services,other,reputation,mother,0.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15.0,15.0,15.0
7,GP,M,16.0,Urban,0.0,Living together,2.0,2.0,other,other,home,mother,0.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12.0,12.0,11.0
8,GP,F,17.0,Urban,1.0,Apart,4.0,4.0,other,teacher,home,mother,1.0,1.0,0.0,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,6.0,5.0,6.0
9,GP,M,15.0,Urban,0.0,Apart,3.0,2.0,services,other,home,mother,0.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,16.0,18.0,19.0
10,GP,M,15.0,Urban,1.0,Living together,3.0,4.0,other,other,home,mother,0.0,1.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,14.0,15.0,15.0
11,GP,F,15.0,Urban,1.0,Living together,4.0,4.0,teacher,health,reputation,mother,0.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,10.0,8.0,9.0
12,GP,F,15.0,Urban,1.0,Living together,2.0,1.0,services,other,reputation,father,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,4.0,10.0,12.0,12.0
